Parcel_ID,State,Land_Use_Type,Area_Hectares,Carbon_Tons_per_Ha,Carbon_Value_INR,Flood_Mitigation_Value_INR,Water_Filtration_Value_INR,Pollination_Value_INR,Biodiversity_Index,Biodiversity_Value_INR,Total_Ecosystem_Value_INR,Development_Profit_INR,Discount_Rate,Time_Horizon_Years,NPV_Environment_INR,NPV_Development_INR,Environmental_ROI,Financial_ROI
521,Odisha,Forest,259.66,30.41,31585042.4,4861307.79,1801969.78,1678498.72,0.49,2544668.0,42471486.69,28582017.6,0.039,50,35076780.55,23605605.48,0.2272,-0.4442
522,West Bengal,Forest,160.88,33.19,21358428.8,1515879.54,2386714.34,803906.42,0.6,1930560.0,27995489.1,43180937.23,0.12,20,22317832.51,34423578.79,-0.4832,0.2296
523,Odisha,Solar Farm,293.44,204.99,240609062.4,3865639.35,1753207.59,1356964.42,0.7,4108160.0,251693033.76,64717582.32,0.058,20,224853607.73,57816387.09,2.4744,-0.7703
524,Karnataka,Grassland,70.94,161.78,45906692.8,582285.92,675377.36,513662.29,0.73,1035724.0,48713742.37,16909827.88,0.109,40,32205148.82,11179258.6,0.9045,-0.7705
525,Tamil Nadu,Grassland,252.48,185.26,187097779.2,5170618.31,1117557.08,310855.09,0.41,2070336.0,195767145.68,40588287.54,0.086,20,165989324.77,34414469.39,3.0896,-0.8242
526,Gujarat,Agriculture,425.73,57.1,97236732.0,3464907.8,6183830.13,839710.29,0.56,4768176.0,112493356.22,83609511.56,0.079,10,104257049.32,77487962.52,0.247,-0.3112
527,West Bengal,Urban,47.59,23.69,4509628.4,363448.91,457465.53,280738.36,0.38,361684.0,5972965.2,9967417.85,0.104,10,5410294.57,9028458.2,-0.4572,0.5116
528,Assam,Urban,25.58,129.55,13255556.0,568714.01,135063.81,96435.02,0.66,337656.0,14393424.84,7021296.2,0.103,40,9724383.88,4743678.47,0.385,-0.6704
529,West Bengal,Wetland,293.65,185.25,217594650.0,4146502.96,3034153.86,1525698.02,0.34,1996820.0,228297824.84,66198861.03,0.08,50,155375663.51,45053832.48,1.3471,-0.8027
530,West Bengal,Agriculture,182.52,228.72,166983897.6,1008122.38,1114293.9,275957.93,0.77,2810808.0,172193079.81,41163163.13,0.06,40,136393047.37,32605080.67,2.3135,-0.8106
531,Tamil Nadu,Forest,339.45,105.02,142596156.0,8115008.74,2683144.38,1598985.18,0.9,6110100.0,161103394.3,38262727.61,0.041,50,131780467.27,31298410.23,2.4441,-0.8057
532,Maharashtra,Barren Land,294.35,242.64,285684336.0,4252174.31,826086.78,1193220.55,0.58,3414460.0,295370277.64,26633009.25,0.089,20,249064041.9,22457658.86,8.3517,-0.924
533,Assam,Forest,498.89,118.42,236314215.2,6918713.24,3596574.92,1015897.49,0.86,8580908.0,256426308.85,76682592.82,0.065,30,212282286.9,63481614.82,1.7683,-0.7524
534,West Bengal,Wetland,331.55,116.09,153958558.0,7030795.16,927942.73,2759659.77,0.91,6034210.0,170711165.66,70352040.95,0.116,50,98614540.36,40640189.85,0.4017,-0.7619
535,Uttar Pradesh,Agriculture,79.96,124.58,39845667.2,1602811.66,764623.61,368867.95,0.45,719640.0,43301610.42,6533212.21,0.065,20,38177266.79,5760067.19,4.8436,-0.867
536,Gujarat,Industrial,85.52,186.25,63712400.0,874080.54,236150.56,510665.17,0.65,1111760.0,66445056.27,22917501.25,0.082,20,56755525.87,19575494.52,1.4765,-0.7054
537,Karnataka,Grassland,176.01,202.72,142722988.8,3257412.2,533423.6,1072368.21,0.88,3097776.0,150683968.81,26239246.3,0.057,40,120716629.52,21020904.87,3.6006,-0.8605
538,Karnataka,Industrial,76.02,46.35,14094108.0,1202582.21,740726.54,131175.45,0.9,1368360.0,17536952.2,18152314.4,0.083,10,16192938.32,16761139.8,-0.1079,-0.0442
539,Odisha,Solar Farm,415.08,29.24,48547756.8,7023557.03,4230167.72,3510695.23,0.79,6558264.0,69870440.78,49505476.04,0.115,40,45205784.82,32029766.41,-0.0869,-0.5416
540,Karnataka,Solar Farm,66.55,220.03,58571986.0,1948151.84,286364.37,499031.47,0.23,306130.0,61611663.68,10072722.25,0.076,40,45963580.34,7514459.94,3.5632,-0.878
541,Assam,Forest,292.42,234.62,274430321.6,6376588.65,2414398.88,2423306.57,0.91,5322044.0,290966659.7,16234145.8,0.118,30,208217782.86,11617268.62,11.8259,-0.9601
542,Gujarat,Grassland,47.64,205.45,39150552.0,572078.69,177141.51,236232.5,0.68,647904.0,40783908.7,6919136.47,0.035,50,34338956.77,5825727.25,3.9629,-0.8572
543,Uttar Pradesh,Barren Land,301.73,226.58,273463933.6,4399339.31,1452023.16,1503579.76,0.24,1448304.0,282267179.83,76977929.72,0.104,30,209774726.72,57208295.28,1.7251,-0.7973
544,Odisha,Barren Land,296.06,94.74,112194897.6,7399896.57,2726988.33,2496789.67,0.67,3967204.0,128785776.17,72860771.1,0.084,40,93271888.67,52768729.07,0.2801,-0.5903
545,Tamil Nadu,Forest,210.0,239.91,201524400.0,3890847.58,2071894.39,626721.64,0.67,2814000.0,210927863.61,40509401.6,0.047,20,192415737.88,36954085.95,3.7499,-0.8248
546,Maharashtra,Forest,34.5,155.05,21396900.0,831184.58,303745.51,104912.9,0.7,483000.0,23119742.99,2415911.89,0.07,50,16484057.23,1722511.79,5.8231,-0.9255
547,Uttar Pradesh,Solar Farm,85.87,54.27,18640659.6,863624.54,603424.95,125400.41,0.5,858700.0,21091809.5,15278579.62,0.073,30,17073190.03,12367554.02,0.1175,-0.4136
548,Tamil Nadu,Industrial,194.48,211.4,164452288.0,1678978.38,1667482.74,303072.33,0.25,972400.0,169074221.45,37625357.61,0.081,10,156405385.25,34806066.24,3.1569,-0.7941
549,Tamil Nadu,Barren Land,439.63,143.89,253033442.8,12746973.16,1157560.31,827414.07,0.23,2022298.0,269787688.34,42344815.43,0.079,20,231728386.43,36371176.96,4.4724,-0.8652
550,Karnataka,Forest,324.56,20.94,27185145.6,9298407.8,4202451.53,1190976.92,0.26,1687712.0,43564693.85,30012637.12,0.041,10,41848889.39,28830583.21,0.3944,-0.3382
551,Karnataka,Forest,66.03,134.45,35510934.0,735982.67,439483.55,654063.33,0.71,937626.0,38278089.55,18966798.36,0.043,10,36699989.98,18184849.82,0.935,-0.5249
552,Odisha,Industrial,194.16,143.14,111168249.6,1343383.63,398889.44,1365703.77,0.68,2640576.0,116916802.44,29647688.84,0.074,40,87873880.23,22283002.99,1.9639,-0.8094
553,Karnataka,Wetland,210.64,15.76,13278745.6,2819266.88,906187.88,397228.64,0.92,3875776.0,21277205.0,42094283.12,0.096,30,16161546.48,31973593.95,-0.6161,0.5027
554,West Bengal,Solar Farm,161.11,104.36,67253758.4,1759820.62,525307.81,420704.08,0.8,2577760.0,72537350.91,35345351.17,0.079,20,62304411.98,30359136.27,0.7627,-0.5815
555,Maharashtra,Solar Farm,240.17,231.38,222282138.4,1637568.81,1356434.67,996571.17,0.79,3794686.0,230067399.05,71601559.08,0.052,40,187841749.07,58460095.39,1.6234,-0.7459
556,Assam,Agriculture,437.78,209.35,366596972.0,4647662.89,3148217.62,2051899.3,0.93,8142708.0,384587459.81,41686714.15,0.102,10,348990435.4,37828234.26,7.3717,-0.9016
557,Karnataka,Wetland,170.43,185.41,126397705.2,2641711.89,1622268.11,1447548.22,0.8,2726880.0,134836113.42,45437625.79,0.035,40,117501883.05,39596265.84,1.586,-0.7063
558,West Bengal,Grassland,347.57,43.6,60616208.0,5351001.49,3173887.38,1607391.46,0.59,4101326.0,74849814.33,103969162.29,0.042,30,66158792.56,91897011.4,-0.3637,0.2278
559,Uttar Pradesh,Solar Farm,339.35,105.04,142581296.0,2825171.88,1378975.17,3238572.46,0.86,5836820.0,155860835.51,93918672.32,0.119,30,111236352.69,67028837.13,0.1844,-0.5699
560,Maharashtra,Solar Farm,108.12,95.31,41219668.8,2349499.04,896253.5,515246.49,0.47,1016328.0,45996995.83,21455890.48,0.082,50,31016526.77,14468057.96,0.4456,-0.6855
561,Tamil Nadu,Urban,84.92,123.22,41855369.6,1599620.58,799413.97,245500.73,0.76,1290784.0,45790688.88,4780976.78,0.062,50,33896479.41,3539109.91,6.0899,-0.9227
562,Karnataka,Wetland,391.21,145.33,227418197.2,4510283.88,4316763.93,2388931.1,0.8,6259360.0,244893536.11,91447800.77,0.085,30,191729132.67,71595223.81,1.0966,-0.7076
563,Odisha,Solar Farm,246.65,41.96,41397736.0,2844694.72,1837121.5,1577004.52,0.59,2910470.0,50567026.74,30102678.33,0.031,20,47571855.17,28319645.15,0.5803,-0.44
564,Gujarat,Grassland,250.64,78.55,78751088.0,5856255.61,579304.6,1569871.18,0.91,4561648.0,91318167.39,23460484.68,0.072,20,79463486.6,20414907.17,2.3871,-0.7764
565,Odisha,Urban,50.25,160.16,32192160.0,942855.42,366611.53,286042.76,0.87,874350.0,34662019.71,4978447.17,0.032,20,32545763.95,4674492.94,5.5373,-0.8651
566,Maharashtra,Wetland,431.52,148.51,256340140.8,11766023.42,4211759.44,3577926.42,0.52,4487808.0,280383658.08,102470889.39,0.112,30,203909911.34,74522281.77,0.9899,-0.7342
567,Gujarat,Wetland,288.2,53.39,61547992.0,3377686.82,1320641.77,928497.76,0.43,2478520.0,69653338.35,54407389.34,0.083,20,59386129.76,46387500.73,0.0915,-0.334
568,West Bengal,Grassland,216.12,157.7,136328496.0,1521349.32,678886.32,550342.05,0.59,2550216.0,141629289.69,22368132.49,0.055,10,134245772.22,21202021.32,5.0017,-0.8503
569,Maharashtra,Grassland,203.15,204.85,166461110.0,1086152.32,2121277.0,1426090.41,0.8,3250400.0,174345029.73,57529689.89,0.032,20,163700564.24,54017270.87,1.8455,-0.6902
570,Maharashtra,Agriculture,81.12,222.68,72255206.4,1335475.64,757634.7,565182.9,0.71,1151904.0,76065403.64,22951695.38,0.12,50,43161552.82,13023408.34,0.8805,-0.8288
571,Maharashtra,Urban,361.48,78.93,114126465.6,9757722.46,954260.89,1113259.96,0.87,6289752.0,132241460.91,41226027.16,0.05,50,103614644.92,32301671.02,1.5133,-0.7557
572,Odisha,Grassland,73.37,216.19,63447441.2,1284081.86,790459.89,231232.71,0.77,1129898.0,66883113.66,17608901.71,0.058,40,53379415.27,14053665.05,2.0314,-0.7899
573,Gujarat,Urban,208.29,60.33,50264542.8,6126647.39,2164723.29,1960195.3,0.43,1791294.0,62307402.78,51129514.57,0.099,40,42711898.8,35049425.18,-0.1646,-0.4375
574,Maharashtra,Grassland,347.37,241.75,335906790.0,5154582.93,1285034.6,2447353.56,0.75,5210550.0,350004311.09,67308197.85,0.049,10,333655206.0,64164154.29,3.9571,-0.8167
575,Odisha,Urban,254.71,84.93,86530081.2,3995549.98,2645887.1,1963032.82,0.37,1884854.0,97019405.1,38545605.65,0.054,40,78613324.71,31232908.61,1.0395,-0.6781
576,Assam,Wetland,103.32,198.01,81833572.8,2865199.71,703921.06,801919.25,0.87,1797768.0,88002380.82,27021388.36,0.046,50,70280687.16,21579890.5,1.6009,-0.7548
577,Tamil Nadu,Agriculture,478.36,100.4,192109376.0,6448779.07,1344960.45,2571454.26,0.28,2678816.0,205153385.78,53640877.18,0.059,30,172739162.03,45165621.52,2.2203,-0.7798
578,Karnataka,Grassland,405.37,220.12,356920177.6,5092119.28,5335915.95,3532831.35,0.77,6242698.0,377123742.18,35134949.59,0.092,50,242868216.08,22626956.55,5.9124,-0.94
579,Gujarat,Grassland,472.79,173.81,328702519.6,6283578.25,4022275.64,3220421.09,0.58,5484364.0,347713158.58,37817637.83,0.058,30,293605456.87,31932829.0,6.7637,-0.9082
580,Gujarat,Urban,402.19,216.74,348682642.4,3391467.5,5783905.56,1592432.52,0.7,5630660.0,365081107.98,95703638.86,0.103,50,223620594.49,58620684.96,1.3366,-0.8394
581,Gujarat,Barren Land,473.15,85.1,161060260.0,12520808.22,1756299.56,3475460.94,0.76,7191880.0,186004708.72,103823687.89,0.053,50,143675290.07,80196348.67,0.3838,-0.5688
582,Odisha,Forest,437.16,50.53,88358779.2,2771974.64,4951730.94,2307890.67,0.84,7344288.0,105734663.45,63759473.55,0.045,10,101181496.12,61013850.29,0.5869,-0.423
583,West Bengal,Urban,419.04,141.74,237578918.4,4077215.12,4762386.24,2346633.53,0.65,5447520.0,254212673.29,69235709.91,0.105,10,230056717.91,62656751.05,2.3228,-0.7535
584,Odisha,Wetland,415.63,180.25,299669230.0,3173349.36,5363746.8,2925668.13,0.72,5985072.0,317117066.29,58498139.49,0.109,30,232501081.1,42889147.63,2.9745,-0.8648
585,Maharashtra,Urban,364.06,37.02,53910004.8,5531691.78,4923163.25,518701.88,0.92,6698704.0,71582265.71,80016981.16,0.087,10,65853050.33,73612678.16,-0.177,0.0284
586,Assam,Grassland,138.93,69.71,38739241.2,3966653.71,816566.9,1108598.56,0.49,1361514.0,45992574.37,11783142.01,0.031,10,44609674.46,11428847.73,2.7859,-0.7515
587,West Bengal,Barren Land,274.41,244.19,268032711.6,3904416.57,1823042.93,1124209.63,0.59,3238038.0,278122418.73,43951212.67,0.109,30,203911330.88,32223760.71,3.6395,-0.8841
588,Uttar Pradesh,Solar Farm,255.23,131.86,134618511.2,2159064.55,3771179.97,829435.23,0.26,1327196.0,142705386.95,55075204.28,0.084,10,131647035.93,50807384.02,1.3903,-0.644
589,Odisha,Industrial,210.5,111.33,93739860.0,5183898.88,956567.64,1764469.91,0.69,2904900.0,104549696.43,32573284.35,0.071,20,91147305.48,28397663.51,1.7982,-0.7284
590,Tamil Nadu,Industrial,132.04,190.51,100619761.6,2353199.52,814833.24,840362.12,0.95,2508760.0,107136916.48,20970007.85,0.113,50,62728271.57,12277862.67,1.9913,-0.8854
591,Odisha,Forest,175.78,23.14,16270196.8,1776441.94,1308337.02,523246.85,0.2,703120.0,20581342.61,48998742.58,0.106,50,12436496.94,29608015.56,-0.7462,0.4386
592,Uttar Pradesh,Wetland,372.43,50.28,74903121.6,2982825.17,1072174.48,2799281.72,0.9,6703740.0,88461142.97,58707613.95,0.041,40,75326819.09,49990964.02,0.2831,-0.4349
593,Odisha,Forest,258.63,93.72,96955214.4,3716674.25,2606291.61,1931568.59,0.28,1448328.0,106658076.85,15232675.35,0.119,30,76120825.44,10871411.3,3.9972,-0.8981
594,Odisha,Industrial,120.2,22.92,11019936.0,1171575.36,301275.53,544061.03,0.8,1923200.0,14960047.92,16264395.72,0.07,40,11412948.93,12408029.62,-0.2983,-0.1706
595,Karnataka,Urban,339.42,132.13,179390258.4,9006897.37,4500187.77,369694.99,0.78,5294952.0,198561990.53,56066549.65,0.119,20,158575447.19,44775831.26,1.8283,-0.7745
596,Maharashtra,Forest,244.2,246.86,241132848.0,5827645.95,1277621.07,1427484.49,0.94,4590960.0,254256559.51,64562243.6,0.039,20,235527200.96,59806380.42,2.6481,-0.7648
597,Gujarat,Barren Land,354.65,92.94,131844684.0,1835156.48,2569528.83,1103950.9,0.81,5745330.0,143098650.21,47641075.11,0.104,50,87254969.35,29049334.44,0.8315,-0.797
598,Odisha,Urban,5.3,83.88,1778256.0,58454.39,26692.79,8552.5,0.34,36040.0,1907995.68,1001103.18,0.056,50,1452973.84,762358.51,0.4514,-0.6004
599,Tamil Nadu,Industrial,211.61,100.45,85024898.0,5691806.03,2913634.18,1150441.62,0.45,1904490.0,96685269.83,16230524.24,0.116,50,55852078.61,9375869.95,2.4412,-0.903
600,Odisha,Barren Land,34.81,81.44,11339705.6,433442.11,214611.19,86279.43,0.79,549998.0,12624036.33,2806537.64,0.087,40,9042323.89,2010262.15,2.2219,-0.8408
601,Odisha,Wetland,66.3,26.93,7141836.0,1838879.4,296471.98,556339.97,0.61,808860.0,10642387.35,4605471.81,0.116,20,8544972.56,3697819.76,0.8554,-0.6525
602,Uttar Pradesh,Barren Land,127.25,216.31,110101790.0,1173276.83,1667135.01,142400.3,0.58,1476100.0,114560702.14,30840392.06,0.114,20,92313514.42,24851322.7,1.9933,-0.7831
603,Tamil Nadu,Barren Land,455.06,206.71,376261810.4,12379808.89,2088659.83,1618948.15,0.42,3822504.0,396171731.27,65648540.46,0.065,30,327970407.93,54347084.6,3.9959,-0.8628
604,West Bengal,Industrial,274.55,48.37,53119934.0,6117294.29,1147170.11,1041306.74,0.58,3184780.0,64610485.14,68393189.04,0.097,20,53689547.89,56832871.48,-0.215,-0.1204
605,West Bengal,Barren Land,324.54,47.39,61519802.4,6061152.41,1018018.54,1426765.01,0.51,3310308.0,73336046.36,19457101.14,0.055,20,65888948.01,17481279.52,2.3864,-0.7616
606,Maharashtra,Urban,478.05,238.87,456767214.0,6600998.71,1223952.09,1248597.02,0.49,4684890.0,470525651.82,137174021.15,0.043,30,414696509.31,120897952.15,2.0231,-0.7431
607,Maharashtra,Grassland,382.94,36.08,55265900.8,11308769.42,2665650.89,3054754.83,0.46,3523048.0,75818123.94,79236879.95,0.047,10,72414636.05,75679923.54,-0.0861,-0.0018
608,Karnataka,Industrial,77.28,235.14,72686476.8,2159294.54,1046146.8,512281.47,0.81,1251936.0,77656135.61,5197793.62,0.06,20,69113684.24,4626017.82,12.2967,-0.9404
609,West Bengal,Agriculture,160.28,162.55,104214056.0,2227722.8,629994.67,1020695.69,0.81,2596536.0,110689005.16,23325688.42,0.042,50,90108526.79,18988728.07,2.8631,-0.8284
610,Karnataka,Industrial,102.36,67.0,27432480.0,1279237.94,1060074.54,655975.02,0.72,1473984.0,31901751.5,14394425.78,0.104,40,21475250.29,9689872.25,0.4919,-0.6963
611,Maharashtra,Grassland,106.02,122.57,51979485.6,2652988.08,460345.46,210849.19,0.86,1823544.0,57127212.33,14390350.71,0.092,10,52314297.01,13177976.84,2.6354,-0.7693
612,West Bengal,Wetland,17.55,175.61,12327822.0,226439.45,47817.28,113869.93,0.38,133380.0,12849328.66,2574616.77,0.037,50,10714863.82,2146934.58,3.1617,-0.8329
613,Maharashtra,Forest,77.85,81.51,25382214.0,563944.43,1077501.72,82086.86,0.56,871920.0,27977667.01,6291203.65,0.058,30,23624057.65,5312228.42,2.7551,-0.8101
614,Tamil Nadu,Barren Land,463.4,48.81,90474216.0,13506167.42,2166546.49,3556175.61,0.61,5653480.0,115356585.52,125636860.59,0.08,20,98899678.94,107713357.84,-0.2128,-0.0663
615,Karnataka,Barren Land,269.61,56.91,61374020.4,2468477.46,3751450.32,1065106.11,0.48,2588256.0,71247310.29,64694514.14,0.06,10,67214443.67,61032560.51,0.039,-0.1434
616,Gujarat,Forest,476.27,187.1,356440468.0,9494790.63,6406611.2,688902.25,0.39,3714906.0,376745678.08,79184213.72,0.05,20,341719435.9,71822416.07,3.3155,-0.8094
617,Uttar Pradesh,Barren Land,373.23,230.61,344282281.2,5820243.05,2406483.95,3603146.22,0.53,3956238.0,360068392.42,64293383.62,0.062,10,339047450.49,60539909.25,4.2734,-0.8319
618,Maharashtra,Solar Farm,455.23,146.55,266855826.0,10950268.43,5714724.04,1855809.45,0.53,4825438.0,290202065.92,119323951.47,0.063,40,227283255.67,93453284.3,0.9048,-0.678
619,Karnataka,Forest,398.0,235.84,375457280.0,8190943.21,4633179.59,3281858.57,0.83,6606800.0,398170061.37,59207807.12,0.035,10,384705373.3,57205610.74,5.4975,-0.8563
620,Odisha,Barren Land,203.93,171.7,140059124.0,3315648.85,2393428.72,859124.84,0.68,2773448.0,149400774.41,19700647.7,0.097,40,103163564.24,13603604.42,4.2366,-0.9089
621,Maharashtra,Grassland,275.12,58.98,64906310.4,3383365.05,3227683.96,1470079.27,0.36,1980864.0,74968302.68,80284912.47,0.094,50,47839988.69,51232709.92,-0.4041,-0.3166
622,Maharashtra,Forest,478.78,112.51,215470151.2,8080613.53,6546558.98,2741228.11,0.73,6990188.0,239828739.82,54122832.57,0.07,50,170994576.93,38588831.62,2.1594,-0.8391
623,Assam,Industrial,66.11,59.44,15718313.6,332109.23,165965.56,647584.1,0.38,502436.0,17366408.49,14268367.75,0.106,30,12836441.07,10546513.51,-0.1004,-0.3927
624,Assam,Agriculture,277.58,46.75,51907460.0,6440664.02,2721191.22,2104404.85,0.78,4330248.0,67503968.09,81567602.47,0.082,40,49251590.47,59512562.99,-0.3962,-0.1184
625,Gujarat,Solar Farm,174.11,165.63,115351357.2,1168455.3,2379416.01,361178.85,0.45,1566990.0,120827397.36,44212857.06,0.084,40,87508107.57,32020746.42,0.9792,-0.735
626,Assam,Wetland,199.85,123.62,98821828.0,5268782.41,1283048.4,1764045.41,0.27,1079190.0,108216894.22,48803291.92,0.106,30,79988892.7,36073122.49,0.639,-0.6667
627,Odisha,Solar Farm,95.0,113.28,43046400.0,868061.96,1062656.1,552722.34,0.68,1292000.0,46821840.4,9416565.47,0.049,20,42549798.12,8557394.5,3.5186,-0.8172
628,Maharashtra,Barren Land,25.54,87.3,8918568.0,485096.97,335931.55,178839.94,0.53,270724.0,10189160.46,7362671.93,0.095,10,9305169.37,6723901.31,0.2638,-0.3401
629,Karnataka,Agriculture,465.43,136.62,254348186.4,5339695.42,1250492.62,3506905.05,0.29,2699494.0,267144773.49,58501656.99,0.078,30,213250667.56,46699462.78,2.6452,-0.8252
630,Karnataka,Wetland,284.39,154.14,175343498.4,2603983.83,1972695.77,1864104.8,0.93,5289654.0,187073936.8,65952254.81,0.113,40,121908118.45,42978276.02,0.8484,-0.7703
631,Karnataka,Forest,382.29,152.01,232447611.6,3746665.34,4077854.35,2527095.97,0.65,4969770.0,247768997.26,65924559.87,0.078,10,229841370.37,61154508.23,2.4864,-0.7532
632,Uttar Pradesh,Wetland,170.55,134.64,91851408.0,1695078.99,2126292.42,455708.34,0.26,886860.0,97015347.75,27127939.95,0.089,50,63343352.63,17712400.22,1.335,-0.8174
633,Uttar Pradesh,Solar Farm,221.67,76.42,67760085.6,4201595.16,1443300.1,2082769.03,0.89,3945726.0,79433475.89,38923690.33,0.06,50,59357314.06,29086045.72,0.525,-0.6338
634,Uttar Pradesh,Forest,369.88,18.81,27829771.2,6239589.0,2356950.86,3434270.32,0.21,1553496.0,41414077.38,69612791.56,0.097,50,26068428.6,43818339.1,-0.6255,0.0581
635,Assam,Solar Farm,245.08,30.5,29899760.0,7183670.94,2140561.95,1599802.88,0.38,1862608.0,42686403.77,41877927.67,0.069,10,39931154.13,39174862.18,-0.0465,-0.0823
636,Assam,Solar Farm,42.07,35.48,5970574.4,1091161.72,215299.93,115887.05,0.58,488012.0,7880935.1,10188797.95,0.036,20,7342741.52,9492999.09,-0.2793,0.2046
637,Tamil Nadu,Forest,290.52,38.61,44867908.8,1717416.61,780241.25,2471592.21,0.29,1685016.0,51522174.87,17805343.6,0.069,40,39453302.87,13634510.1,1.2158,-0.7354
638,Maharashtra,Grassland,422.78,72.98,123417937.6,6571191.51,1064979.83,2131532.73,0.63,5327028.0,138512669.67,81481021.05,0.06,30,116297908.4,68413036.47,0.4273,-0.5061
639,Karnataka,Agriculture,161.19,35.59,22947008.4,2284055.53,530868.09,1273298.4,0.92,2965896.0,30001126.42,47151075.42,0.108,40,19905748.81,31284740.79,-0.5778,0.0428
640,Gujarat,Forest,302.39,178.21,215555687.6,3668034.57,3084382.68,1542444.81,0.56,3386768.0,227237317.66,72405513.52,0.055,50,173867078.22,55399945.8,1.4013,-0.7562
641,Tamil Nadu,Wetland,162.43,231.91,150676565.2,1040462.81,1350320.53,1496826.11,0.66,2144076.0,156708250.65,30309725.27,0.052,10,148962215.45,28811525.92,3.9147,-0.8161
642,Maharashtra,Urban,174.92,214.49,150074363.2,3320060.89,1520343.16,331686.35,0.21,734664.0,155981117.6,50887953.3,0.064,20,137780822.12,44950210.32,1.7075,-0.7118
643,Tamil Nadu,Solar Farm,303.59,29.13,35374306.8,6702616.65,4287713.05,1876485.93,0.29,1760822.0,50001944.43,59330709.63,0.099,30,37669843.49,44697832.69,-0.3651,-0.1061
644,West Bengal,Solar Farm,206.18,221.16,182395075.2,4374536.28,2822652.85,1363168.93,0.3,1237080.0,192192513.26,26272059.25,0.048,10,183389802.73,25068758.83,5.9804,-0.8696
645,West Bengal,Forest,454.87,192.5,350249900.0,9966183.15,2689447.15,1208318.01,0.77,7004998.0,371118846.31,76663556.21,0.05,30,320586412.97,66224862.29,3.1817,-0.8216
646,Odisha,Barren Land,310.23,19.68,24421305.6,4080844.95,2510145.67,723340.03,0.94,5832324.0,37567960.25,31728568.85,0.042,10,36053704.65,30449682.2,0.1363,-0.1895
647,Assam,Wetland,105.75,194.57,82303110.0,1653680.59,988805.56,125745.47,0.23,486450.0,85557791.62,17074012.97,0.103,20,70324805.77,14034100.5,3.1188,-0.836
648,Odisha,Barren Land,443.19,30.81,54618735.6,8180878.58,6147925.44,1990700.81,0.82,7268316.0,78206556.43,36972644.27,0.114,50,45584501.45,21550361.42,0.2329,-0.7244
649,Uttar Pradesh,Solar Farm,376.95,235.92,355720176.0,8261021.65,2534706.46,3559776.54,0.41,3090990.0,373166670.65,50150608.05,0.093,50,239222507.39,32149586.63,3.7701,-0.9138
650,Tamil Nadu,Urban,383.83,233.06,357821679.2,3884382.72,4749502.62,2935115.19,0.25,1919150.0,371309829.73,56348464.57,0.055,20,333604213.5,50626414.11,4.9204,-0.8637
651,Assam,Solar Farm,155.72,245.91,153172420.8,3280932.47,1764274.91,1524430.09,0.48,1494912.0,161236970.27,39001637.76,0.069,20,141094218.54,34129304.17,2.6176,-0.7883
652,Uttar Pradesh,Grassland,435.42,53.36,92936044.8,12493137.88,2109188.5,1713806.4,0.77,6705468.0,115957645.58,64633215.94,0.085,10,106873406.06,59569784.28,0.6535,-0.4863
653,West Bengal,Grassland,225.06,188.17,169398160.8,2410005.79,621155.21,832578.99,0.56,2520672.0,175782572.79,20706648.24,0.062,40,138190360.45,16278400.86,5.6737,-0.9074
654,West Bengal,Solar Farm,202.99,23.77,19300289.2,3975088.46,2739647.34,480210.65,0.65,2638870.0,29134105.65,43883352.8,0.068,50,20967440.89,31582284.24,-0.5222,0.084
655,Assam,Solar Farm,352.04,108.58,152898012.8,6201512.77,737731.36,2543658.34,0.7,4928560.0,167309475.27,20981661.21,0.063,50,123269096.98,15458720.59,4.8751,-0.9076
656,Odisha,Agriculture,489.62,110.98,217352110.4,8592162.73,6771000.05,3650291.84,0.64,6267136.0,242632701.02,122136282.02,0.108,10,218982582.15,110231301.46,0.7929,-0.5457
657,Odisha,Forest,231.16,124.03,114683099.2,3386788.36,3367349.29,1681572.56,0.26,1202032.0,124320841.41,61428436.63,0.073,10,115862853.13,57249241.97,0.8861,-0.5395
658,Assam,Solar Farm,39.03,141.93,22158111.6,602198.05,523421.27,110687.18,0.82,640092.0,24034510.1,7393147.4,0.035,20,22436472.36,6901582.21,2.0348,-0.7128
659,Gujarat,Industrial,486.06,133.03,258642247.2,5964890.09,3938198.57,4238793.19,0.43,4180116.0,276964245.05,47716072.32,0.042,20,255086966.46,43947001.67,4.3459,-0.8413
660,Karnataka,Solar Farm,152.44,197.21,120250769.6,2559568.08,755684.84,380439.17,0.45,1371960.0,125318421.69,43442517.85,0.061,10,118113498.29,40944880.16,1.7188,-0.6733
661,Assam,Urban,494.12,126.46,249945660.8,4683811.88,6712531.85,2541357.17,0.73,7214152.0,271097513.7,146223891.87,0.035,10,261929964.93,141279122.58,0.7913,-0.4789
662,Odisha,Agriculture,52.86,182.91,38674490.4,636731.74,232368.23,71586.02,0.22,232584.0,39847760.39,12877827.25,0.042,30,35220925.23,11382546.63,1.735,-0.7143
663,Uttar Pradesh,Grassland,236.52,155.42,147039753.6,3715444.2,556386.45,1904343.98,0.21,993384.0,154209312.23,56876549.45,0.11,30,112756520.02,41587642.76,0.9825,-0.7303
664,Tamil Nadu,Barren Land,219.26,138.53,121496351.2,3710884.47,1547912.46,1970450.33,0.87,3815124.0,132540722.46,29370774.03,0.085,40,95637976.95,21193195.25,2.2562,-0.8401
